City,restaurants_count,avg_rating,avg_cost
Abu Dhabi,20,,182.0
Agra,20,,1065.0
Ahmedabad,21,,857.1428571428571
Albany,20,,19.75
Allahabad,20,,517.5
Amritsar,21,,480.95238095238096
Ankara,18,,87.25
Armidale,1,,20.0
Athens,20,,19.0
Auckland,20,,68.25
Augusta,19,,27.0
Aurangabad,20,,622.5
Balingup,1,,20.0
Bandung,1,,150000.0
Bangalore,18,,1232.5
Beechworth,1,,20.0
Bhopal,17,,620.0
Bhubaneshwar,21,,678.5714285714286
Birmingham,20,,39.0
Bogor,2,,160000.0
Boise,20,,27.25
Bras�_lia,19,,120.0
Cape Town,20,,297.2
Cedar Rapids/Iowa City,20,,25.75
Chandigarh,18,,1072.2222222222222
Chatham-Kent,1,,25.0
Chennai,18,,1085.0
Clatskanie,1,,10.0
Cochrane,1,,25.0
Coimbatore,20,,782.5
Colombo,20,,2375.0
Columbus,20,,26.75
Consort,1,,25.0
Dalton,20,,16.0
Davenport,19,,25.25
Dehradun,20,,727.5
Des Moines,20,,28.0
Dicky Beach,1,,7.0
Doha,20,,223.75
Dubai,19,,211.75
Dubuque,20,,23.75
East Ballina,1,,20.0
Edinburgh,20,,38.5
Faridabad,235,,447.60956175298804
Fernley,1,,10.0
Flaxton,1,,30.0
Forrest,1,,20.0
Gainesville,20,,21.25
Ghaziabad,25,,602.0
Goa,19,,1175.0
Gurgaon,943,,714.0161001788908
Guwahati,21,,821.4285714285714
Hepburn Springs,2,,13.5
Huskisson,1,,20.0
Hyderabad,16,,1361.111111111111
Indore,20,,960.0
Inner City,2,,1120.0
Inverloch,1,,7.0
Jaipur,20,,1310.0
Jakarta,14,,308437.5
Johannesburg,6,,470.0
Kanpur,20,,915.0
Kochi,20,,730.0
Kolkata,19,,1272.5
Lakes Entrance,1,,7.0
Lakeview,1,,10.0
Lincoln,1,,25.0
London,19,,64.5
Lorn,1,,20.0
Lucknow,21,,859.5238095238095
Ludhiana,20,,1160.0
Macedon,1,,20.0
Macon,20,,27.25
Makati City,2,,1150.0
Manchester,20,,49.25
Mandaluyong City,4,,2000.0
Mangalore,20,,782.5
Mayfield,1,,20.0
Mc Millan,1,,10.0
Middleton Beach,1,,30.0
Miller,1,,0.0
Mohali,1,,550.0
Monroe,1,,25.0
Montville,1,,30.0
Mumbai,16,,1072.5
Mysore,20,,814.5
Nagpur,20,,715.0
Nashik,20,,662.5
New Delhi,4295,,596.0880687008953
Noida,902,,539.4907407407408
Ojo Caliente,1,,40.0
Orlando,20,,40.25
Palm Cove,1,,30.0
Panchkula,1,,2000.0
Pasay City,3,,3333.3333333333335
Pasig City,3,,933.3333333333334
Patna,20,,797.5
Paynesville,1,,120.0
Penola,1,,20.0
Pensacola,20,,30.25
Phillip Island,1,,20.0
Pocatello,20,,20.75
Potrero,1,,25.0
Pretoria,20,,492.25
Princeton,1,,70.0
Puducherry,20,,842.5
Pune,19,,1337.5
Quezon City,1,,800.0
Ranchi,19,,735.0
Randburg,1,,200.0
Rest of Hawaii,20,,31.75
Rio de Janeiro,19,,126.75
San Juan City,2,,850.0
Sandton,11,,375.90909090909093
Santa Rosa,2,,825.0
Savannah,20,,32.5
Secunderabad,2,,825.0
Sharjah,20,,105.5
Singapore,20,,155.75
Sioux City,20,,24.25
Surat,19,,812.5
S��o Paulo,20,,157.25
Tagaytay City,1,,1200.0
Taguig City,4,,1725.0
Tampa Bay,19,,34.75
Tangerang,2,,250000.0
Tanunda,1,,30.0
Trentham East,1,,20.0
Vadodara,20,,820.0
Valdosta,20,,29.25
Varanasi,20,,505.0
Vernonia,1,,10.0
Victor Harbor,1,,20.0
Vineland Station,1,,70.0
Vizag,19,,780.0
Waterloo,20,,21.25
Weirton,1,,25.0
Wellington City,20,,71.25
Winchester Bay,1,,25.0
Yorkton,1,,25.0
��stanbul,14,,81.42857142857143
